8.100000000000000000e+01 8.300000000000000000e+01 1.800000000000000000e+01
8.099960000000000093e+01 8.302039999999999509e+01 1.798039999999999949e+01
8.099840000000000373e+01 8.304160000000000252e+01 1.796160000000000068e+01
8.099639999999999418e+01 8.306359999999999388e+01 1.794359999999999999e+01
8.099360000000000070e+01 8.308639999999999759e+01 1.792640000000000100e+01
8.098999999999999488e+01 8.310999999999999943e+01 1.791000000000000014e+01
8.098560000000000514e+01 8.313439999999999941e+01 1.789440000000000097e+01
8.098040000000000305e+01 8.315959999999999752e+01 1.787959999999999994e+01
8.097440000000000282e+01 8.318559999999999377e+01 1.786560000000000059e+01
8.096760000000000446e+01 8.321240000000000236e+01 1.785203123779455581e+01
8.095999999999999375e+01 8.323999999999999488e+01 1.783846311050776734e+01
8.095159999999999911e+01 8.326839999999999975e+01 1.782489498322097532e+01
8.094240000000000634e+01 8.329760000000000275e+01 1.781132685593418685e+01
8.093240000000000123e+01 8.332760000000000389e+01 1.779775872864739839e+01
8.092159999999999798e+01 8.335840000000000316e+01 1.778419060136060637e+01
8.090999999999999659e+01 8.339000000000000057e+01 1.777062247407381790e+01
8.089759999999999707e+01 8.342239999999999611e+01 1.775705434678702943e+01
8.088439999999999941e+01 8.345560000000000400e+01 1.774348621950023741e+01
8.087040000000000362e+01 8.348959999999999582e+01 1.772991809221344894e+01
8.085559999999999548e+01 8.352439999999999998e+01 1.771634996492666048e+01
8.084000000000000341e+01 8.356000000000000227e+01 1.770278183763986846e+01
8.082359999999999900e+01 8.359640000000000271e+01 1.768921371035307999e+01
8.080639999999999645e+01 8.363360000000000127e+01 1.767564558306628797e+01
8.078839999999999577e+01 8.367129971208814254e+01 1.766207745577949950e+01
8.076959999999999695e+01 8.370900655939286139e+01 1.764850932849271103e+01
8.075000000000000000e+01 8.374671340669758024e+01 1.763494120120591901e+01
8.072960000000000491e+01 8.378442025400231330e+01 1.762137307391913055e+01
8.070839999999999748e+01 8.382212710130703215e+01 1.760780494663234208e+01
8.068640000000000612e+01 8.385983394861176521e+01 1.759423681934555006e+01
8.066360000000000241e+01 8.389754079591648406e+01 1.758066869205876159e+01
8.064000000000000057e+01 8.393524764322120291e+01 1.756710056477197313e+01
8.061560000000000059e+01 8.397295449052593597e+01 1.755353243748518111e+01
8.000000000000000000e+01 3.000000000000000000e+01 7.600000000000000000e+01
8.056440000000000623e+01 8.404836818513538788e+01 1.752639618291160062e+01
8.053759999999999764e+01 8.408607503244010672e+01 1.751282805562481215e+01
8.051000000000000512e+01 8.412378187974482557e+01 1.749925992833802368e+01
